taxonID,description,type,language
alien-fishes-checklist:taxon:078319c97e97d2b50c582b9b9b792bad,Eastern Europe,native range,en
alien-fishes-checklist:taxon:0b5b04074e4446927e7986999170bf5b,Asia,native range,en
alien-fishes-checklist:taxon:1da48686487fe130179a13661ea90545,Asia,native range,en
alien-fishes-checklist:taxon:22e0c0833feaf2c7e7267d9893c5b2ed,Africa,native range,en
alien-fishes-checklist:taxon:35edeae691a00ed23ea01f139e8bfa1f,Eastern Europe,native range,en
alien-fishes-checklist:taxon:5340e4b13d517176f46c1b9cd4711ea1,Asia,native range,en
alien-fishes-checklist:taxon:5d69f2217ba58b9d0c49b318c39e9c01,Eastern Europe,native range,en
alien-fishes-checklist:taxon:68deb7328ae700d1fa49933e484e3af8,Eastern Europe,native range,en
alien-fishes-checklist:taxon:69bdf9b7a061aed637c31e075156f71c,Eastern Europe,native range,en
alien-fishes-checklist:taxon:7864ebfbde9459e7ce7192cc405f9077,Eastern Europe,native range,en
alien-fishes-checklist:taxon:798907ff71a3cd93d9940145812760b1,Eastern Europe,native range,en
alien-fishes-checklist:taxon:81f3b13dc63b2940665387c85baefae7,Asia,native range,en
alien-fishes-checklist:taxon:c937610f85ea8a74f105724c8f198049,Eastern Europe,native range,en
alien-fishes-checklist:taxon:d9d4509efbdd5d427f9ee370d645ac02,Asia,native range,en
alien-fishes-checklist:taxon:d9d4509efbdd5d427f9ee370d645ac02,Eastern Europe,native range,en
alien-fishes-checklist:taxon:dec8ee68b3fae146c056b4972e3e6b83,Asia,native range,en
alien-fishes-checklist:taxon:e77935e4437424387a49b0e89ade96ef,Asia,native range,en
alien-fishes-checklist:taxon:ed016d9744c4b866c67ab3bb3bf7a185,Eastern Europe,native range,en
alien-fishes-checklist:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261,Eastern Europe,native range,en
alien-fishes-checklist:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35,Africa,native range,en
