"language","license","rightsHolder","accessRights","datasetID","datasetName","taxonID","scientificName","kingdom","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:dec8ee68b3fae146c056b4972e3e6b83","Acipenser baeri","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:35edeae691a00ed23ea01f139e8bfa1f","Acipenser guldenstaedti","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:078319c97e97d2b50c582b9b9b792bad","Acipenser ruthenus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:6e0fcd4097785a262970615380fdd48d","Ameiurus nebulosus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:c937610f85ea8a74f105724c8f198049","Aspius aspius","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:69bdf9b7a061aed637c31e075156f71c","Ballerus ballerus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:81f3b13dc63b2940665387c85baefae7","Carassius auratus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:d9d4509efbdd5d427f9ee370d645ac02","Carassius gibelio","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35","Clarias gariepinus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:0b5b04074e4446927e7986999170bf5b","Ctenopharyngodon idella","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:ed016d9744c4b866c67ab3bb3bf7a185","Cyprinus carpio","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:e77935e4437424387a49b0e89ade96ef","Hypophthalmichthys molitrix","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:5340e4b13d517176f46c1b9cd4711ea1","Hypophthalmichthys nobilis","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:641be9ef6247d5891954556e5ddabb7d","Ictalurus punctatus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:72f50769ed62a241530df9c3c41a0ae8","Lepomis gibbosus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:798907ff71a3cd93d9940145812760b1","Neogobius fluviatilis","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:68deb7328ae700d1fa49933e484e3af8","Neogobius melanostomus","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:6bcf9c25959c3b2535055ba465ac93b1","Oncorhynchus mykiss","Animalia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","https://doi.org/10.15468/xvuzfh","Checklist of alien fishes in Flanders, Belgium","alien-fishes-checklist:taxon:22e0c0833feaf2c7e7267d9893c5b2ed","Oreochromis niloticus","Animalia","species","ICZN"
