scientific name,dutch name,common name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,pathway new mapping,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Acipenser baeri,Siberische steur,Siberian sturgeon,Animalia,,,,,Acipenser,species,ICZN,Flanders,Belgium,present,2001,,casual,aquacultureMariculture | pet,aquacultureMariculture | ornamentalNonHorticulture,,Asia,freshwater,,,,,2016,,
Acipenser guldenstaedti,Russische steur,Russian sturgeon,Animalia,,,,,Acipenser,species,ICZN,Flanders,Belgium,present,2005,,casual,aquacultureMariculture | pet,aquacultureMariculture | ornamentalNonHorticulture,,Eastern Europe,freshwater,,,,,2016,,
Acipenser ruthenus,Sterlet,Sterlet,Animalia,,,,,Acipenser,species,ICZN,Flanders,Belgium,present,20xx,,casual,aquacultureMariculture | pet,aquacultureMariculture | ornamentalNonHorticulture,,Eastern Europe,freshwater,,,,,2016,,
Ameiurus nebulosus,Bruine Amerikaanse dwergmeerval,Brown bullhead,Animalia,,,,,Ameiurus,species,ICZN,Flanders,Belgium,present,1871,,established,aquacultureMariculture | pet,aquacultureMariculture | ornamentalNonHorticulture,,NA,freshwater,,,,,2016,,
Aspius aspius,Roofblei,Asp,Animalia,,,,,Aspius,species,ICZN,Flanders,Belgium,present,1984,,established,liveFoodBait,liveFoodLiveBait,,Eastern Europe,freshwater,,,,,2016,,
Ballerus ballerus,Brasemblei,Blue bream,Animalia,,,,,Ballerus,species,ICZN,Flanders,Belgium,present,2016,,established,liveFoodBait,liveFoodLiveBait,,Eastern Europe,freshwater,,,,,2016,,
Carassius auratus,Goudvis,Goldfish,Animalia,,,,,Carassius,species,ICZN,Flanders,Belgium,present,17th c.,,casual,pet,ornamentalNonHorticulture,,Asia,freshwater,,,,,2016,,
Carassius gibelio,Giebel,Gibel carp,Animalia,,,,,Carassius,species,ICZN,Flanders,Belgium,present,17th c.,,established,unintentional,unintentional,,Asia or Eastern Europe,freshwater,,,,,2016,,
Clarias gariepinus,Afrikaanse meerval,African catfish,Animalia,,,,,Clarias,species,ICZN,Flanders,Belgium,present,1980s,,casual,aquacultureMariculture,aquacultureMariculture,,Africa,freshwater,,,,,2016,,
Ctenopharyngodon idella,Graskarper,Grass carp,Animalia,,,,,Ctenopharyngodon,species,ICZN,Flanders,Belgium,present,1967,,casual,biologicalControl,biologicalControl,,Asia,freshwater,,,,,2016,,
Cyprinus carpio,Karper,Common carp,Animalia,,,,,Cyprinus,species,ICZN,Flanders,Belgium,present,13th c.,,established,aquacultureMariculture,aquacultureMariculture,,Eastern Europe,freshwater,,,,,2016,,
Hypophthalmichthys molitrix,Zilverkarper,Silver carp,Animalia,,,,,Hypophthalmichthys,species,ICZN,Flanders,Belgium,present,1975,,casual,biologicalControl,biologicalControl,,Asia,freshwater,,,,,2016,,
Hypophthalmichthys nobilis,Grootkopkarper,Bighead caro,Animalia,,,,,Hypophthalmichthys,species,ICZN,Flanders,Belgium,present,1975,,casual,biologicalControl,biologicalControl,,Asia,freshwater,,,,,2016,,
Ictalurus punctatus,Amerikaanse meerval,Channel catfish,Animalia,,,,,Ictalurus,species,ICZN,Flanders,Belgium,present,1884,,casual,aquacultureMariculture,aquacultureMariculture,,NA,freshwater,,,,,2016,,
Lepomis gibbosus,Zonnebaars,Pumpkinseed,Animalia,,,,,Lepomis,species,ICZN,Flanders,Belgium,present,1885,,established,pet,ornamentalNonHorticulture,,NA,freshwater,,,,,2016,,
Neogobius fluviatilis,Pontische stroomgrondel,Monkey goby,Animalia,,,,,Neogobius,species,ICZN,Flanders,Belgium,present,2015,,established,ballastWater | corridor,ballastWater | corridorAndDispersal,,Eastern Europe,freshwater,,,,,2016,,
Neogobius melanostomus,Zwartbekgrondel,Round goby,Animalia,,,,,Neogobius,species,ICZN,Flanders,Belgium,present,2010,,established,ballastWater | corridor,ballastWater | corridorAndDispersal,,Eastern Europe,freshwater,,,,,2016,,
Oncorhynchus mykiss,Regenboogforel,Rainbow trout,Animalia,,,,,Oncorhynchus,species,ICZN,Flanders,Belgium,present,1884,,casual,aquacultureMariculture | liveFoodBait,aquacultureMariculture | liveFoodLiveBait,,NA,freshwater,,,,,2016,,
Oreochromis niloticus,(Nijl)tilapia,Nile tilapia,Animalia,,,,,Oreochromis,species,ICZN,Flanders,Belgium,present,1990,,casual,aquacultureMariculture,aquacultureMariculture,,Africa,freshwater,,,,,2016,,
Pimephales promelas,Dikkopelrits,Fathead minnow,Animalia,,,,,Pimephales,species,ICZN,Flanders,Belgium,present,1984,,established,liveFoodBait,liveFoodLiveBait,,NA,freshwater,,,,,2016,,
Ponticola kessleri,Kesslers grondel,Bighead goby,Animalia,,,,,Ponticola,species,ICZN,Flanders,Belgium,present,2012,,established,ballastWater | corridor,ballastWater,,Eastern Europe,freshwater,,,,,2016,,
Proterorhinus semilunaris,Marmergrondel,Tubenose goby,Animalia,,,,,Proterorhinus,species,ICZN,Flanders,Belgium,present,2010,,established,corridor,corridorAndDispersal,,Eastern Europe,freshwater,,,,,2016,,
Pseudorasbora parva,Blauwbandgrondel,Topmouth gudgeon,Animalia,,,,,Pseudorasbora,species,ICZN,Flanders,Belgium,present,1992,,established,unintentional | liveFoodBait,unintentional | liveFoodLiveBait,,Asia,freshwater,,,,,2016,,
Sander lucioperca,Snoekbaars,Pikeperch,Animalia,,,,,Sander,species,ICZN,Flanders,Belgium,present,1890,,established,liveFoodBait,liveFoodLiveBait,,Eastern Europe,freshwater,,,,,2016,,
Umbra pygmaea,Amerikaanse hondsvis,Eastern mudminnow,Animalia,,,,,Umbra,species,ICZN,Flanders,Belgium,present,1920,,established,pet | aquacultureMariculture,ornamentalNonHorticulture | aquacultureMariculture,,NA,freshwater,,,,,2016,,
