taxon_id_hash,scientific_name,dutch_name,common_name,kingdom,phylum,class,order,family,genus,taxon_rank,nomenclatural_code,location,country_code,occurrence_status,establishment_means,degree_of_establishment,old_introduction_pathway_will_be_deleted,introduction_pathway_1,introduction_pathway_2,introduction_pathway_3,date_first_observation,date_last_observation,source,occurrence_remarks,native_range,realm_will_be_deleted,terrestrial,marine,freshwater,host,abundance,threat_status,date_added,added_by,verified_by,taxon_id
dec8ee68b3fae146c056b4972e3e6b83,"Acipenser baerii Brandt, 1869",Siberische steur,Siberian sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,species,ICZN,Flanders,BE,present,introduced,casual,aquacultureMariculture | pet,aquacultureMariculture,pet,,2001,2019,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:dec8ee68b3fae146c056b4972e3e6b83
35edeae691a00ed23ea01f139e8bfa1f,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",Russische steur,Russian sturgeon,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,species,ICZN,Flanders,BE,present,introduced,casual,aquacultureMariculture | pet,aquacultureMariculture,pet,,2005,,doi:10.1111/j.1095-8649.2007.01679.x,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:35edeae691a00ed23ea01f139e8bfa1f
078319c97e97d2b50c582b9b9b792bad,"Acipenser ruthenus Linnaeus, 1758",Sterlet,Sterlet,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,species,ICZN,Flanders,BE,present,introduced,casual,aquacultureMariculture | pet,aquacultureMariculture,pet,,2000,,doi:10.1111/j.1095-8649.2007.01679.x,first observed in the 2000s,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:078319c97e97d2b50c582b9b9b792bad
493bfb4fee09f7e068257f8ee855210e,"Ameiurus melas (Rafinesque, 1820)",Zwarte dwergmeerval,Black bullhead,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,species,ICZN,Flanders,BE,present,introduced,established,aquacultureMariculture | pet,aquacultureMariculture,fisheryInTheWild,,1880,2024,,,North America,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:493bfb4fee09f7e068257f8ee855210e
6e0fcd4097785a262970615380fdd48d,"Ameiurus nebulosus (Lesueur, 1819)",Bruine dwergmeerval,Brown bullhead,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,species,ICZN,Flanders,BE,present,introduced,invasive,aquacultureMariculture | pet,aquacultureMariculture,fisheryInTheWild,,1871,2024,doi:10.1111/j.1095-8649.2007.01679.x,,North America,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:6e0fcd4097785a262970615380fdd48d
c2431213223207ae53fbe496dfe366e8,"Babka gymnotrachelus (Kessler, 1857)",Naakthalsgrondel,Racer goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Babka,species,ICZN,Flanders,BE,present,introduced,established,unintentional,ballastWater,corridor,,2024,2024,VIS,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:c2431213223207ae53fbe496dfe366e8
69bdf9b7a061aed637c31e075156f71c,"Ballerus ballerus (Linnaeus, 1758)",Brasemblei,Blue bream,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ballerus,species,ICZN,Flanders,BE,present,introduced,casual,unintentional,fisheryInTheWild,transportContaminant,,2016,2016,,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:69bdf9b7a061aed637c31e075156f71c
81f3b13dc63b2940665387c85baefae7,"Carassius auratus (Linnaeus, 1758)",Goudvis,Goldfish,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,species,ICZN,Flanders,BE,present,introduced,casual,pet,pet,,,1601,2009,doi:10.1111/j.1095-8649.2007.01679.x,first observed in the 17th century,Asia,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:81f3b13dc63b2940665387c85baefae7
d9d4509efbdd5d427f9ee370d645ac02,"Carassius gibelio (Bloch, 1782)",Giebel,Gibel carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,species,ICZN,Flanders,BE,present,introduced,established,unintentional,aquacultureMariculture,transportContaminant,,1601,2023,doi:10.1111/j.1095-8649.2007.01679.x,first observed in the 17th century,Asia | Eastern Europe,freshwater,FALSE,TRUE,FALSE,,abundant,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:d9d4509efbdd5d427f9ee370d645ac02
f6dfb7309bb723fe8e7f34d32dcd2b35,"Clarias gariepinus (Burchell, 1822)",Afrikaanse meerval,African catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,species,ICZN,Flanders,BE,present,introduced,cultivated,aquacultureMariculture,aquacultureMariculture,,,1980,2008,doi:10.1111/j.1095-8649.2007.01679.x,first observed in the 1980s,Africa,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35
0b5b04074e4446927e7986999170bf5b,"Ctenopharyngodon idella (Valenciennes, 1844)",Graskarper,Grass carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Ctenopharyngodon,species,ICZN,Flanders,BE,present,introduced,casual,biologicalControl,biologicalControl,,,1967,2013,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:0b5b04074e4446927e7986999170bf5b
ed016d9744c4b866c67ab3bb3bf7a185,"Cyprinus carpio Linnaeus, 1758",Karper,Common carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,species,ICZN,Flanders,BE,present,introduced,invasive,aquacultureMariculture,aquacultureMariculture,,,1201,2023,doi:10.1111/j.1095-8649.2007.01679.x,first observed in the 13th century,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,frequent,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:ed016d9744c4b866c67ab3bb3bf7a185
e14d185c46fc1f470dd075ac1c4a40ab,"Eleutheronema tetradactylum (Shaw, 1804)",Reuzenkapiteinvis,Fourfinger threadfin,Animalia,Chordata,Actinopterygii,Perciformes,Polynemidae,Eleutheronema,species,ICZN,Flanders,BE,doubtful,introduced,failing,unintentional,ballastWater,,,2016,2016,https://doi.org/10.1016/j.ecss.2016.12.025,,Asia,estuarine,FALSE,TRUE,TRUE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:e14d185c46fc1f470dd075ac1c4a40ab
783d5d459c8ac9ae21edc56677d029a7,"Gobiosoma bosc (Lacepède, 1800)",Naakte grondel,Naked goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,species,ICZN,Flanders,BE,present,introduced,established,ballastWater | corridor,ballastWater,,,2018,2021,DOI: 10.3750/AIEP/02688,,North America,estuarine,FALSE,TRUE,TRUE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:783d5d459c8ac9ae21edc56677d029a7
e77935e4437424387a49b0e89ade96ef,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Zilverkarper,Silver carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Hypophthalmichthys,species,ICZN,Flanders,BE,present,introduced,casual,biologicalControl,biologicalControl,,,1975,2020,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:e77935e4437424387a49b0e89ade96ef
